problem,algo,feasibility_rate,best_feasible,mean_feasible,std_feasible,success_rate,best_penalised_old,rank
WBD,QSO,1.0,1.7377324426907161,2.388293038426515,0.4781144242126377,0.03333333333333333,1.7377324426907164,13.0
WBD,PSO,0.5666666666666667,1.724851112982035,1.7878082716340957,0.16956892224512138,0.4,1.7248518504430006,6.0
WBD,GA,1.0,1.7710647683118776,2.7269271404712487,0.6072784363461358,0.0,1.7710647683118776,14.0
WBD,DE,1.0,1.7248513920149202,1.7248513921700812,2.9825255351809656e-11,1.0,1.7248518503842087,1.0
WBD,GWO,1.0,1.7264999363800246,1.731880575989351,0.0064305418464749575,0.9333333333333333,1.7264999363800246,4.0
WBD,WOA,1.0,1.726692846273465,1.7469772680494458,0.03428689340296885,0.6666666666666666,1.726692846273465,5.0
WBD,SCA,1.0,1.8028417267659134,1.946687109038327,0.08773261904366589,0.0,1.8028417267659134,8.0
WBD,HHO,0.9666666666666667,1.7685080643998372,2.00781651955176,0.28153927567950626,0.0,1.7685080643998372,10.0
WBD,MPA,1.0,1.8842314187796654,2.287744178620801,0.2909247528128186,0.0,1.8842314187796654,11.0
WBD,BFO,1.0,1.7257775816438337,1.727162690790717,0.001408911566094121,1.0,1.7257775816438337,2.0
WBD,QBSO,1.0,1.7964516919718645,2.91946556670698,0.907383680882963,0.0,1.7964516919718645,15.0
WBD,QBHO,0.9666666666666667,1.737246309131405,1.8211407256330323,0.13516773814427507,0.03333333333333333,1.737246309131405,7.0
WBD,DBO,1.0,1.7430759975367318,1.9697593067147925,0.16404387006194077,0.0,1.7430759975367318,9.0
WBD,POA,0.9333333333333333,1.725547857089503,1.7273529269979324,0.0014778980608038898,0.9333333333333333,1.725547857089503,3.0
WBD,EVO,0.9333333333333333,1.7250950710313608,2.3111838601973496,0.6108105242741593,0.13333333333333333,1.7250950710313617,12.0
WBD,GJO,1.0,2.2690977294088848,3.280454302356401,0.7667218096163039,0.0,2.2690977294088848,16.0
PVD,QSO,0.0,,,,0.0,5940.008532729859,9.0
PVD,PSO,0.0,,,,0.0,5907.581234761944,9.0
PVD,GA,0.3,6125.89156581891,6824.279623614074,578.4611600947802,0.0,6125.89156581891,3.0
PVD,DE,0.0,,,,0.0,5870.123976642597,9.0
PVD,GWO,0.0,,,,0.0,5874.278235116773,9.0
PVD,WOA,0.0,,,,0.0,5870.232543064644,9.0
PVD,SCA,0.5333333333333333,6664.174364324267,7411.269966235915,527.1350020828053,0.0,6517.164521400867,4.0
PVD,HHO,0.13333333333333333,6126.318999096863,6175.080003937419,36.79226028543233,0.0,6054.976140685082,2.0
PVD,MPA,0.5666666666666667,6740.783025556039,8538.106721251328,897.3945390416332,0.0,6674.172895790937,6.0
PVD,BFO,0.0,,,,0.0,5871.099270081552,9.0
PVD,QBSO,0.16666666666666666,7113.02724617514,11267.42580895607,5450.216333012691,0.0,6003.964967051038,7.0
