problem,algo,reported,raw_objective,penalty,max_violation,n_violated,feasible,beats_optimum
WBD,QSO,1.7377324426907164,1.7377324426907161,3.3087224502121107e-16,1.8189894035458565e-11,0,True,False
WBD,PSO,1.7248518504430006,1.7248513818118059,4.686311948231426e-07,6.845664283494646e-07,0,True,False
WBD,GA,1.7710647683118776,1.7710647683118776,0.0,0.0,0,True,False
WBD,DE,1.7248518503842087,1.7248513921709119,4.5821329696832993e-07,6.769145408647148e-07,0,True,False
WBD,GWO,1.7264999363800246,1.7264999363800246,0.0,0.0,0,True,False
WBD,WOA,1.726692846273465,1.726692846273465,0.0,0.0,0,True,False
WBD,SCA,1.8028417267659134,1.8028417267659134,0.0,0.0,0,True,False
WBD,HHO,1.7685080643998372,1.7685080643998372,0.0,0.0,0,True,False
WBD,MPA,1.8842314187796654,1.8842314187796654,0.0,0.0,0,True,False
WBD,BFO,1.7257775816438337,1.7257775816438337,0.0,0.0,0,True,False
WBD,QBSO,1.7964516919718645,1.7964516919718645,0.0,0.0,0,True,False
WBD,QBHO,1.737246309131405,1.737246309131405,0.0,0.0,0,True,False
WBD,DBO,1.7430759975367318,1.7430759975367318,0.0,0.0,0,True,False
WBD,POA,1.725547857089503,1.725547857089503,0.0,0.0,0,True,False
WBD,EVO,1.7250950710313617,1.7250950710313608,9.793818452627848e-16,2.546585164964199e-11,0,True,False
PVD,QSO,5940.008532729859,5926.065138509237,13.943394220622817,0.0033713396148238317,2,False,False
PVD,PSO,5907.581234761944,5896.79651812496,10.784716636983491,0.0031339039265784185,2,False,False
PVD,GA,6125.89156581891,6125.89156581891,0.0,0.0,0,True,False
PVD,DE,5870.123976642597,5854.933957608371,15.190019034226182,0.003619546548385033,2,False,False
PVD,GWO,5874.278235116773,5850.4039904651145,23.874244651659264,0.004547750393978922,2,False,False
PVD,WOA,5870.232543064644,5853.941493268331,16.29104979631316,0.0036933741464248993,2,False,False
PVD,SCA,6517.164521400867,6381.513278594093,135.6512428067734,0.011646941349846895,1,False,False
PVD,HHO,6054.976140685082,6045.348664657062,9.62747602802047,0.0031028174338849634,1,False,False
PVD,MPA,6674.172895790937,6664.2343027588695,9.938593032067386,0.0031512471540873777,2,False,False
PVD,BFO,5871.099270081552,5857.046600806561,14.052669274991302,0.003535508867627213,2,False,False
PVD,QBSO,6003.964967051038,5991.273180623717,12.691786427321384,0.0033437383119935826,2,False,False
PVD,QBHO,5907.102260150156,5907.102260150156,0.0,0.0,0,True,False
PVD,DBO,5941.414943811011,5927.82712797798,13.587815833031001,0.0033473629227311896,2,False,False
PVD,POA,5948.9406184643185,5937.675977564674,11.26464089964419,0.003356283793072956,1,False,False
PVD,EVO,5870.123976642599,5854.9339518093975,15.190024833201186,0.0036195473969267145,2,False,False
TCSD,QSO,0.013248572478054214,0.013248572456097275,2.1956939857727974e-11,4.68582328494449e-09,0,True,False
TCSD,PSO,0.012665354000111116,0.012665353821902852,1.7820826331267077e-10,1.221617762503513e-08,0,True,False
TCSD,GA,0.013614414661227658,0.013614414661227658,0.0,0.0,0,True,False
TCSD,DE,0.012665232610815395,0.012665232433328438,1.774869581559546e-10,1.2187955533704553e-08,0,True,False
TCSD,GWO,0.012695721468587934,0.012695721468587934,0.0,0.0,0,True,False
TCSD,WOA,0.012665487040608497,0.012665487040608497,0.0,0.0,0,True,False
TCSD,SCA,0.012837412962577049,0.012837412962577049,0.0,0.0,0,True,False
TCSD,HHO,0.012666263620000059,0.012666263469623252,1.50376805638032e-10,1.2262822091102521e-08,0,True,False
TCSD,MPA,0.012894679279314975,0.012894679279314975,0.0,0.0,0,True,False
TCSD,BFO,0.012677521279301423,0.012677521279301423,0.0,0.0,0,True,False
TCSD,QBSO,0.012671040010751077,0.012671038966652072,1.0440990056983635e-09,3.231252088120584e-08,0,True,False
TCSD,QBHO,0.012685740964230854,0.012685740964230854,0.0,0.0,0,True,False
TCSD,DBO,0.012682848550108736,0.012682848550108736,0.0,0.0,0,True,False
TCSD,POA,0.012699455179110312,0.012699455179110312,0.0,0.0,0,True,False
TCSD,EVO,0.01266525052319475,0.012665250345678284,1.775164668641118e-10,1.2189723674893571e-08,0,True,False
SRD,QSO,2990.3996702630056,2989.130436507019,1.2692337559863325,0.0008897269500647287,2,False,True
